team_id,team_name,conference,season,total_ppa,total_passing_ppa,total_receiving_ppa,total_rushing_ppa,percent_ppa,percent_passing_ppa,percent_receiving_ppa,percent_rushing_ppa,usage,passing_usage,receiving_usage,rushing_usage,transfer_adjusted_ppa,transfer_adjusted_usage,returning_starter_estimate,source_system,source_snapshot_date
239,Baylor,Big 12,2026,212.6,90.4,86.0,36.2,0.602,0.777,0.469,0.677,0.651,0.984,0.325,0.598,213.5,0.696,6.622,cfbd,2026-08-19
2132,Cincinnati,Big 12,2026,34.8,5.2,25.3,4.4,0.083,0.035,0.153,0.041,0.071,0.019,0.086,0.107,35.7,0.116,0.913,cfbd,2026-08-19
38,Colorado,Big 12,2026,26.4,-13.2,47.2,-7.6,0.137,-0.261,0.386,-0.371,0.36,0.267,0.494,0.34,27.3,0.405,1.507,cfbd,2026-08-19
248,Houston,Big 12,2026,242.7,106.5,108.5,27.7,0.812,0.915,0.613,5.226,0.6,0.929,0.494,0.429,243.1,0.62,8.932,cfbd,2026-08-19
66,Iowa State,Big 12,2026,4.7,2.2,-0.3,2.7,0.017,0.03,-0.002,0.045,0.029,0.006,0.057,0.028,4.2,0.004,0.187,cfbd,2026-08-19
2305,Kansas,Big 12,2026,59.5,-1.5,49.7,11.2,0.181,-0.015,0.331,0.145,0.162,0.071,0.344,0.098,60.7,0.222,1.991,cfbd,2026-08-19
2306,Kansas State,Big 12,2026,167.8,74.7,71.7,21.5,0.714,1.0,0.573,0.606,0.795,1.0,0.633,0.736,167.5,0.78,7.854,cfbd,2026-08-19
197,Oklahoma State,Big 12,2026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3,0.065,0,cfbd,2026-08-19
2628,TCU,Big 12,2026,94.3,17.4,68.1,8.7,0.224,0.11,0.291,0.313,0.251,0.008,0.381,0.4,94,0.236,2.464,cfbd,2026-08-19
2641,Texas Tech,Big 12,2026,231.6,41.4,118.1,72.1,0.534,0.268,0.57,0.988,0.567,0.233,0.532,0.934,231.5,0.562,5.874,cfbd,2026-08-19
2116,UCF,Big 12,2026,62.3,2.6,70.3,-10.6,0.248,0.039,0.58,-0.168,0.196,0.005,0.525,0.085,62.4,0.201,2.728,cfbd,2026-08-19
254,Utah,Big 12,2026,278.5,107.0,40.4,131.1,0.679,0.974,0.286,0.827,0.715,0.992,0.328,0.766,278,0.69,7.469,cfbd,2026-08-19
277,West Virginia,Big 12,2026,21.1,11.1,10.6,-0.7,0.14,0.624,0.094,-0.035,0.262,0.546,0.056,0.153,22,0.307,1.54,cfbd,2026-08-19
356,Illinois,Big Ten,2026,83.5,4.8,63.0,15.7,0.211,0.032,0.313,0.342,0.435,0.005,0.462,0.833,83.5,0.435,2.321,cfbd,2026-08-19
84,Indiana,Big Ten,2026,97.9,3.7,63.0,31.2,0.166,0.019,0.241,0.245,0.118,0.005,0.154,0.175,98,0.123,1.826,cfbd,2026-08-19
2294,Iowa,Big Ten,2026,80.4,8.1,55.0,17.2,0.342,0.163,0.559,0.197,0.404,0.087,0.498,0.556,79.3,0.349,3.762,cfbd,2026-08-19
120,Maryland,Big Ten,2026,112.3,71.3,31.5,9.5,0.54,0.866,0.264,1.418,0.705,0.953,0.418,0.73,110.9,0.635,5.94,cfbd,2026-08-19
130,Michigan,Big Ten,2026,212.5,69.8,74.3,68.4,0.692,1.037,0.601,0.589,0.711,0.986,0.46,0.668,211.7,0.671,7.612,cfbd,2026-08-19
127,Michigan State,Big Ten,2026,52.9,13.0,33.4,6.5,0.209,0.162,0.244,0.185,0.304,0.449,0.183,0.257,53.4,0.329,2.299,cfbd,2026-08-19
135,Minnesota,Big Ten,2026,113.5,61.3,50.3,2.0,0.649,0.971,0.451,10.0,0.679,0.992,0.43,0.559,114,0.704,7.139,cfbd,2026-08-19
158,Nebraska,Big Ten,2026,146.2,4.1,119.6,22.6,0.463,0.052,0.741,0.295,0.392,0.307,0.612,0.288,144.9,0.327,5.093,cfbd,2026-08-19
77,Northwestern,Big Ten,2026,198.2,44.9,95.5,57.9,0.885,0.939,0.863,0.88,0.948,0.997,0.89,0.948,198.7,0.973,9.735,cfbd,2026-08-19
194,Ohio State,Big Ten,2026,355.9,196.6,131.9,27.5,0.683,0.94,0.503,0.549,0.709,0.964,0.489,0.651,355.6,0.694,7.513,cfbd,2026-08-19
2483,Oregon,Big Ten,2026,373.3,162.3,141.6,69.4,0.753,0.945,0.635,0.683,0.67,0.98,0.534,0.485,373.4,0.675,8.283,cfbd,2026-08-19
213,Penn State,Big Ten,2026,21.5,2.5,20.1,-1.1,0.076,0.033,0.145,-0.016,0.035,0.003,0.106,0.015,20.7,-0.005,0.836,cfbd,2026-08-19
2509,Purdue,Big Ten,2026,111.7,55.6,28.6,27.5,0.475,0.97,0.216,0.606,0.49,0.837,0.231,0.338,111.3,0.47,5.225,cfbd,2026-08-19
164,Rutgers,Big Ten,2026,165.0,12.7,104.4,47.8,0.444,0.099,0.545,0.926,0.407,0.031,0.407,0.792,164.8,0.397,4.884,cfbd,2026-08-19
26,UCLA,Big Ten,2026,108.3,17.5,29.3,61.5,0.57,0.547,0.338,0.861,0.635,0.907,0.274,0.69,108.9,0.665,6.27,cfbd,2026-08-19
30,USC,Big Ten,2026,305.5,178.7,64.3,62.6,0.592,0.909,0.269,0.78,0.657,0.956,0.253,0.732,304.4,0.602,6.512,cfbd,2026-08-19
264,Washington,Big Ten,2026,228.1,102.1,68.6,57.4,0.544,0.942,0.342,0.519,0.571,0.943,0.38,0.355,227.7,0.551,5.984,cfbd,2026-08-19
275,Wisconsin,Big Ten,2026,29.8,-2.0,24.6,7.1,0.31,-5.0,0.337,0.318,0.468,0.519,0.227,0.576,28.7,0.413,3.41,cfbd,2026-08-19
48,Delaware,Conference USA,2026,299.8,126.1,150.2,23.6,0.849,0.963,0.771,0.877,0.917,0.98,0.796,0.986,300.3,0.942,9.339,cfbd,2026-08-19
2229,Florida International,Conference USA,2026,75.2,-0.3,66.6,8.9,0.316,-0.006,0.489,0.164,0.263,0.002,0.494,0.339,75.2,0.263,3.476,cfbd,2026-08-19
55,Jacksonville State,Conference USA,2026,133.7,31.1,49.2,53.4,0.495,0.76,0.49,0.416,0.466,0.66,0.293,0.438,133.8,0.471,5.445,cfbd,2026-08-19
338,Kennesaw State,Conference USA,2026,23.1,0.0,26.2,-3.1,0.061,0.0,0.132,-0.038,0.052,0.0,0.181,0.008,24.1,0.102,0.671,cfbd,2026-08-19
2335,Liberty,Conference USA,2026,86.9,34.3,25.6,26.9,0.383,0.746,0.211,0.45,0.425,0.828,0.284,0.221,86.9,0.425,4.213,cfbd,2026-08-19
2348,Louisiana Tech,Conference USA,2026,138.6,53.2,54.7,30.7,0.639,0.991,0.439,0.785,0.489,0.829,0.385,0.312,137.4,0.429,7.029,cfbd,2026-08-19
2393,Middle Tennessee,Conference USA,2026,70.8,23.4,36.8,10.7,0.325,0.392,0.262,0.601,0.287,0.292,0.332,0.211,69.7,0.232,3.575,cfbd,2026-08-19
2623,Missouri State,Conference USA,2026,98.9,5.4,94.0,-0.5,0.313,0.053,0.474,-0.032,0.192,0.004,0.421,0.185,99.5,0.222,3.443,cfbd,2026-08-19
166,New Mexico State,Conference USA,2026,34.2,14.2,38.7,-18.8,0.244,0.401,0.303,0.807,0.301,0.227,0.303,0.418,33.8,0.281,2.684,cfbd,2026-08-19
2534,Sam Houston,Conference USA,2026,38.1,4.2,34.5,-0.6,0.577,-0.311,0.568,-0.032,0.521,0.375,0.658,0.565,38.3,0.531,6.347,cfbd,2026-08-19
2638,UTEP,Conference USA,2026,-0.9,-3.1,10.9,-8.7,-0.011,0.181,0.153,-0.309,0.098,0.025,0.145,0.144,-1.3,0.078,0,cfbd,2026-08-19
98,Western Kentucky,Conference USA,2026,312.2,99.1,185.2,27.9,0.837,0.951,0.848,0.547,0.784,0.994,0.78,0.493,313.1,0.829,9.207,cfbd,2026-08-19
87,Notre Dame,FBS Independents,2026,175.6,105.8,62.4,7.4,0.512,0.907,0.376,0.123,0.461,0.922,0.336,0.167,175,0.431,5.632,cfbd,2026-08-19
41,UConn,FBS Independents,2026,11.4,6.1,5.3,-0.1,0.023,0.032,0.024,-0.001,0.027,0.009,0.066,0.005,12.1,0.062,0.253,cfbd,2026-08-19
2006,Akron,Mid-American,2026,158.8,38.2,101.7,18.9,0.918,0.874,0.92,1.022,0.943,0.995,0.825,0.997,158.9,0.948,10.098,cfbd,2026-08-19
2050,Ball State,Mid-American,2026,5.6,0.0,28.9,-23.3,0.057,0.0,0.319,-1.036,0.173,0.0,0.293,0.243,5.6,0.173,0.627,cfbd,2026-08-19
189,Bowling Green,Mid-American,2026,-7.1,-9.4,2.2,0.0,-0.062,9.4,0.025,0.0,0.226,0.23,0.106,0.293,-6.6,0.251,0,cfbd,2026-08-19
2084,Buffalo,Mid-American,2026,-1.6,5.8,-8.4,1.0,-0.008,0.094,-0.071,0.09,0.146,0.007,0.341,0.111,-1.1,0.171,0,cfbd,2026-08-19
2117,Central Michigan,Mid-American,2026,134.9,7.8,84.0,43.1,0.54,0.092,0.646,1.228,0.422,0.18,0.615,0.468,134.9,0.422,5.94,cfbd,2026-08-19
2199,Eastern Michigan,Mid-American,2026,228.5,100.3,104.3,23.9,0.721,0.974,0.635,0.486,0.587,0.995,0.501,0.223,228,0.562,7.931,cfbd,2026-08-19
2309,Kent State,Mid-American,2026,108.3,60.7,52.6,-5.0,0.641,1.032,0.452,0.758,0.516,0.85,0.514,0.229,107.5,0.476,7.051,cfbd,2026-08-19
113,Massachusetts,Mid-American,2026,-3.4,10.4,-4.3,-9.5,-0.567,-0.365,-0.11,2.209,0.135,0.005,0.276,0.148,-2,0.205,0,cfbd,2026-08-19
193,Miami (OH),Mid-American,2026,31.9,-1.2,17.1,16.1,0.139,-0.024,0.13,0.333,0.287,0.236,0.311,0.315,32.4,0.312,1.529,cfbd,2026-08-19
2459,Northern Illinois,Mid-American,2026,35.8,-21.2,41.6,15.3,0.437,1.377,0.929,0.289,0.473,0.435,0.698,0.4,34.3,0.398,4.807,cfbd,2026-08-19
195,Ohio,Mid-American,2026,205.6,72.9,24.1,108.5,0.625,0.937,0.168,1.004,0.833,0.997,0.336,0.998,206.3,0.868,6.875,cfbd,2026-08-19
2649,Toledo,Mid-American,2026,224.9,107.1,103.9,13.8,0.663,0.985,0.584,0.263,0.564,0.856,0.61,0.257,226,0.619,7.293,cfbd,2026-08-19
2711,Western Michigan,Mid-American,2026,155.5,27.1,83.3,45.2,0.997,1.0,1.0,1.0,1.0,1.0,1.0,1.0,155.8,1.015,10.967,cfbd,2026-08-19
2005,Air Force,Mountain West,2026,185.9,78.9,14.5,92.4,0.574,1.017,0.127,0.697,0.625,0.994,0.143,0.636,185.3,0.595,6.314,cfbd,2026-08-19
68,Boise State,Mountain West,2026,234.2,92.8,74.4,67.0,0.663,0.943,0.396,1.004,0.734,0.996,0.348,0.807,234.2,0.734,7.293,cfbd,2026-08-19
36,Colorado State,Mountain West,2026,79.6,12.4,73.2,-6.0,0.396,0.23,0.584,-0.28,0.306,0.269,0.5,0.139,80.1,0.331,4.356,cfbd,2026-08-19
278,Fresno State,Mountain West,2026,104.6,7.4,90.3,6.9,0.383,0.073,0.695,0.166,0.491,0.005,0.746,0.712,104.9,0.506,4.213,cfbd,2026-08-19
62,Hawai'i,Mountain West,2026,234.7,123.6,105.5,5.6,0.645,0.912,0.523,0.211,0.578,0.786,0.449,0.425,234.9,0.588,7.095,cfbd,2026-08-19
2440,Nevada,Mountain West,2026,32.3,11.7,25.2,-4.6,0.355,-1.3,0.412,-0.118,0.444,0.706,0.203,0.39,32.7,0.464,3.905,cfbd,2026-08-19
167,New Mexico,Mountain West,2026,174.1,65.9,64.3,44.0,0.582,0.74,0.432,0.714,0.573,0.968,0.269,0.454,175.4,0.638,6.402,cfbd,2026-08-19
21,San Diego State,Mountain West,2026,182.6,20.4,82.8,79.5,0.987,1.0,0.973,1.0,0.998,1.0,0.992,1.0,182.8,1.008,10.857,cfbd,2026-08-19
23,San José State,Mountain West,2026,11.2,-7.6,4.0,14.8,0.038,-0.076,0.027,0.355,0.137,0.133,0.059,0.26,11.5,0.152,0.418,cfbd,2026-08-19
2439,UNLV,Mountain West,2026,66.1,4.6,29.4,32.1,0.154,0.038,0.143,0.311,0.271,0.012,0.288,0.513,67.3,0.331,1.694,cfbd,2026-08-19
328,Utah State,Mountain West,2026,215.0,83.0,79.4,52.6,0.652,0.866,0.486,0.744,0.708,0.993,0.421,0.659,213.9,0.653,7.172,cfbd,2026-08-19
2751,Wyoming,Mountain West,2026,36.8,1.1,21.8,13.8,0.23,0.032,0.201,0.807,0.281,0.124,0.355,0.387,37,0.291,2.53,cfbd,2026-08-19
204,Oregon State,Pac-12,2026,97.3,33.0,49.5,14.8,0.579,0.897,0.409,1.437,0.503,0.868,0.313,0.264,97.5,0.513,6.369,cfbd,2026-08-19
265,Washington State,Pac-12,2026,228.3,78.7,120.8,28.8,0.913,1.0,0.847,1.0,0.975,1.0,0.917,1.0,227.6,0.94,10.043,cfbd,2026-08-19
333,Alabama,SEC,2026,120.2,22.2,107.0,-9.1,0.264,0.123,0.41,-0.669,0.301,0.092,0.466,0.389,118.7,0.226,2.904,cfbd,2026-08-19
8,Arkansas,SEC,2026,65.7,25.0,24.7,15.9,0.145,0.187,0.117,0.145,0.196,0.136,0.272,0.189,65.8,0.201,1.595,cfbd,2026-08-19
2,Auburn,SEC,2026,35.8,0.0,9.2,26.7,0.144,0.0,0.088,0.263,0.196,0.0,0.087,0.48,35.6,0.186,1.584,cfbd,2026-08-19
57,Florida,SEC,2026,143.0,44.7,60.8,37.5,0.691,0.943,0.515,0.893,0.79,0.997,0.497,0.834,142.2,0.75,7.601,cfbd,2026-08-19
61,Georgia,SEC,2026,248.1,120.2,59.4,68.5,0.687,0.997,0.347,0.993,0.742,0.991,0.327,0.826,247.4,0.707,7.557,cfbd,2026-08-19
96,Kentucky,SEC,2026,43.8,-1.6,48.3,-2.9,0.193,-0.029,0.345,-0.093,0.18,0.016,0.406,0.158,43.3,0.155,2.123,cfbd,2026-08-19
99,LSU,SEC,2026,42.9,5.8,26.9,10.2,0.212,0.132,0.203,0.402,0.269,0.005,0.16,0.702,42.6,0.254,2.332,cfbd,2026-08-19
344,Mississippi State,SEC,2026,109.5,-0.2,47.4,62.3,0.339,-0.002,0.279,0.873,0.398,0.195,0.483,0.514,109.3,0.388,3.729,cfbd,2026-08-19
142,Missouri,SEC,2026,132.8,-1.5,43.3,91.1,0.42,-0.023,0.329,0.775,0.502,0.238,0.429,0.752,133,0.512,4.62,cfbd,2026-08-19
201,Oklahoma,SEC,2026,181.3,83.0,73.4,24.8,0.632,0.921,0.416,1.216,0.746,0.933,0.412,0.849,180.4,0.701,6.952,cfbd,2026-08-19
145,Ole Miss,SEC,2026,279.4,167.4,53.1,58.9,0.503,0.791,0.194,0.838,0.679,0.853,0.29,0.839,279.9,0.704,5.533,cfbd,2026-08-19
2579,South Carolina,SEC,2026,148.3,28.3,93.0,27.0,0.69,0.654,0.672,0.801,0.676,0.907,0.511,0.567,147.9,0.656,7.59,cfbd,2026-08-19
2633,Tennessee,SEC,2026,186.2,12.0,121.5,52.7,0.353,0.066,0.515,0.48,0.367,0.022,0.598,0.502,185,0.307,3.883,cfbd,2026-08-19
251,Texas,SEC,2026,187.5,73.6,81.3,32.6,0.721,0.854,0.55,1.264,0.58,0.979,0.423,0.278,187.4,0.575,7.931,cfbd,2026-08-19
245,Texas A&M,SEC,2026,266.6,102.5,107.1,56.9,0.728,0.972,0.605,0.681,0.702,0.942,0.55,0.604,265.4,0.642,8.008,cfbd,2026-08-19
238,Vanderbilt,SEC,2026,203.3,17.8,126.2,59.3,0.354,0.087,0.501,0.501,0.326,0.061,0.449,0.501,203.7,0.346,3.894,cfbd,2026-08-19
2026,App State,Sun Belt,2026,107.7,-22.1,105.5,24.3,0.379,-0.309,0.575,0.85,0.523,0.142,0.665,0.882,107.7,0.523,4.169,cfbd,2026-08-19
2032,Arkansas State,Sun Belt,2026,73.9,6.0,84.5,-16.5,0.3,0.072,0.542,-2.463,0.389,0.007,0.628,0.609,74.8,0.434,3.3,cfbd,2026-08-19
324,Coastal Carolina,Sun Belt,2026,28.4,5.8,17.0,5.6,0.154,0.115,0.17,0.161,0.226,0.005,0.336,0.346,28,0.206,1.694,cfbd,2026-08-19
290,Georgia Southern,Sun Belt,2026,19.4,-2.9,17.1,5.2,0.058,-0.04,0.093,0.066,0.212,0.071,0.202,0.376,19.9,0.237,0.638,cfbd,2026-08-19
2247,Georgia State,Sun Belt,2026,131.7,62.0,46.5,23.2,0.465,0.642,0.276,1.268,0.286,0.403,0.232,0.188,132.2,0.311,5.115,cfbd,2026-08-19
256,James Madison,Sun Belt,2026,31.0,6.1,15.8,9.1,0.08,0.093,0.086,0.066,0.079,0.01,0.176,0.083,31.7,0.114,0.88,cfbd,2026-08-19
309,Louisiana,Sun Belt,2026,189.3,46.5,102.1,40.7,0.919,1.011,0.924,0.824,0.661,0.9,0.867,0.361,189.1,0.651,10.109,cfbd,2026-08-19
276,Marshall,Sun Belt,2026,284.6,101.3,161.0,22.3,0.988,1.002,0.914,2.104,0.752,0.935,0.893,0.551,284.9,0.767,10.868,cfbd,2026-08-19
295,Old Dominion,Sun Belt,2026,32.8,-2.5,28.5,6.8,0.092,-0.019,0.18,0.098,0.306,0.125,0.127,0.526,31.8,0.256,1.012,cfbd,2026-08-19
6,South Alabama,Sun Belt,2026,180.8,58.7,80.0,42.1,0.786,0.951,0.802,0.617,0.759,0.997,0.806,0.571,180.9,0.764,8.646,cfbd,2026-08-19
2572,Southern Miss,Sun Belt,2026,289.4,97.7,137.3,54.4,0.902,0.974,0.819,1.019,0.921,0.998,0.847,0.908,292.1,1.056,9.922,cfbd,2026-08-19
326,Texas State,Sun Belt,2026,306.4,121.2,127.9,57.4,0.76,0.998,0.791,0.48,0.667,0.99,0.739,0.392,306.7,0.682,8.36,cfbd,2026-08-19
2653,Troy,Sun Belt,2026,75.1,47.0,18.5,9.5,0.353,1.028,0.116,1.357,0.568,0.964,0.107,0.522,74.4,0.533,3.883,cfbd,2026-08-19
2433,UL Monroe,Sun Belt,2026,63.5,34.0,26.8,2.7,0.387,0.782,0.259,0.157,0.458,0.965,0.341,0.136,63.7,0.468,4.257,cfbd,2026-08-19
